Organism Name	Size (Mb)	GC%	Blooming	Proteins	Taxonomy ID	GCA ID	URL										
Acaryochloris marina MBIC11017	8.362	46.99%	Unknown	7163	329726	GCA_000018105.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/105/GCA_000018105.1_ASM1810v1										
Aliterella atlantica CENA595	5.266	42.60%	Unknown	4756	1618023	GCA_000952155.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/952/155/GCA_000952155.1_asmbly001										
Alkalinema sp. CACIAM 70d	6.461	49.70%	Unknown	5216	1934309	GCA_002148405.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/148/405/GCA_002148405.1_ASM214840v1										
Anabaena sp. 90	5.306	38.09%	bloomer	4531	46234	GCA_000312705.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/312/705/GCA_000312705.1_ASM31270v1										
Anabaena sp. CRKS33	4.950	37.60%	Unknown	4638	1710888	GCA_001672075.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/672/075/GCA_001672075.1_ASM167207v1										
Anabaena sp. WA102	5.782	38.38%	Unknown	4927	1647413	GCA_001277295.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/277/295/GCA_001277295.1_ASM127729v1										
Anabaena variabilis ATCC 29413	7.106	41.39%	bloomer	5706	240292	GCA_000204075.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/204/075/GCA_000204075.1_ASM20407v1										
Aphanizomenon flos-aquae LD13	4.439	37.10%	Unknown	3787	1710894	GCA_001672165.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/672/165/GCA_001672165.1_ASM167216v1										
Aphanizomenon flos-aquae MDT14a	4.633	37.10%	Unknown	3936	1710895	GCA_001672095.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/672/095/GCA_001672095.1_ASM167209v1										
Aphanizomenon flos-aquae 2012/KM1/D3	5.742	38.20%	Unknown	4558	1532906	GCA_000789435.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/789/435/GCA_000789435.1_ASM78943v1										
Aphanizomenon flos-aquae WA102	5.946	39.10%	Unknown	5296	1710896	GCA_001672105.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/672/105/GCA_001672105.1_ASM167210v1										
Aphanocapsa montana BDHKU210001	11.500	52.50%	Unknown	7295	1574475	GCA_000817745.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/817/745/GCA_000817745.1_ASM81774v1										
Arthrospira platensis C1	6.089	44.75%	bloomer	11091	459495	GCA_000307915.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/307/915/GCA_000307915.1_ASM30791v1										
Arthrospira maxima CS-328	6.003	44.80%	Unknown	5018	513049	GCA_000173555.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/173/555/GCA_000173555.1_ASM17355v1										
Arthrospira platensis YZ	6.521	44.20%	Unknown	5551	1738638	GCA_001611905.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/611/905/GCA_001611905.1_ASM161190v1										
Arthrospira platensis NIES-39	6.788	44.30%	Unknown	5872	696747	GCA_000210375.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/210/375/GCA_000210375.1_ASM21037v1										
Arthrospira sp. PCC 8005	6.228	44.70%	Unknown	5293	376219	GCA_000973065.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/973/065/GCA_000973065.1_ASM97306v1										
Calothrix sp. 336/3	6.420	41.06%	Unknown	5232	1337936	GCA_000734895.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/734/895/GCA_000734895.2_ASM73489v2										
Calothrix sp. HK-06	9.990	38.80%	Unknown	8078	1137096	GCA_001904745.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/904/745/GCA_001904745.1_ASM190474v1										
Calothrix sp. PCC 6303	6.960	39.80%	nonbloomer	5465	1170562	GCA_000317435.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/435/GCA_000317435.1_ASM31743v1										
Candidatus Synechococcus spongiarum	1.409	61.90%	Unknown	1338	431041	GCA_900047545.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/047/545/GCA_900047545.1_m9									1	1
Candidatus Atelocyanobacterium thalassa isolate SIO64986	1.486	30.90%	Unknown	1246	1527444	GCA_000737945.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/737/945/GCA_000737945.1_ASM73794v1										
Candidatus Atelocyanobacterium thalassa isolate ALOHA	1.444	31.10%	Unknown	1148	1453429	GCA_000025125.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/125/GCA_000025125.1_ASM2512v1										
Candidatus Synechococcus spongiarum LMB bulk15N	1.473	60.20%	Unknown	1343	1943583	GCA_002018015.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/018/015/GCA_002018015.1_ASM201801v1										
Chamaesiphon minutus PCC 6605	6.762	45.65%	nonbloomer	6013	1173020	GCA_000317145.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/145/GCA_000317145.1_ASM31714v1										
Chroococcidiopsis thermalis PCC 7203	6.689	44.44%	Unknown	5716	251229	GCA_000317125.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/125/GCA_000317125.1_ASM31712v1										
Chroogloeocystis siderophila 5.2 s.c.1	5.010	42.90%	Unknown	4219	247279	GCA_001904655.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/904/655/GCA_001904655.1_ASM190465v1										
Chrysosporum ovalisporum	7.468	50.40%	Unknown	2851	75695	GCA_001458455.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/458/455/GCA_001458455.1_Assembly_of_Aphanizomenon_ovalisporum										
Coleofasciculus chthonoplastes PCC 7420	8.679	45.40%	Unknown	6635	118168	GCA_000155555.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/555/GCA_000155555.1_ASM15555v1										
Crinalium epipsammum PCC 9333	5.620	40.20%	Unknown	4728	1173022	GCA_000317495.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/495/GCA_000317495.1_ASM31749v1										
Crocosphaera watsonii WH 8501	6.238	37.10%	nonbloomer	5079	165597	GCA_000167195.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/167/195/GCA_000167195.1_ASM16719v1										
Cyanobacteria bacterium TMED229	1.353	57.50%	Unknown	1375	1986679	GCA_002169615.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/169/615/GCA_002169615.1_ASM216961v1										
Cyanobacteria bacterium TMED177	1.350	60.30%	Unknown	1406	1986677	GCA_002170825.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/170/825/GCA_002170825.1_ASM217082v1										
